occlusion,method,mAP50,mAP50_95,precision,recall
0.0,student_only,0.45689,0.27126,0.56396,0.43214
0.0,logit_only,0.40705,0.23196,0.52944,0.40106
0.0,localization_only,0.47922,0.2793,0.59891,0.43379
0.1,student_only,0.46343,0.26842,0.58457,0.44223
0.1,logit_only,0.46695,0.27013,0.63007,0.4212
0.1,localization_only,0.46586,0.27045,0.60141,0.43163
0.2,student_only,0.46929,0.27403,0.70524,0.39447
0.2,logit_only,0.47076,0.27289,0.65233,0.41333
0.2,localization_only,0.46658,0.27343,0.66512,0.40852
0.3,student_only,0.47,0.27452,0.61287,0.42653
0.3,logit_only,0.47,0.27452,0.61287,0.42653
0.3,localization_only,0.4757,0.27358,0.66814,0.41161
0.4,student_only,0.47922,0.2793,0.59891,0.43379
0.4,logit_only,0.47922,0.2793,0.59891,0.43379
0.4,localization_only,0.47,0.27452,0.61287,0.42653
0.5,student_only,0.47922,0.2793,0.59891,0.43379
0.5,logit_only,0.4757,0.27358,0.66814,0.41161
0.5,localization_only,0.47922,0.2793,0.59891,0.43379
